Student_ID,Age,Gender,Parental_Education,Study_Hours_Per_Week,Attendance_Rate,Past_Exam_Score,Internal_Assessment_Score,Assignment_Completion_Rate,Tutoring_Classes,Internet_Access,Extracurricular_Activities,Sleep_Hours_Per_Day,Final_Score,Performance_Category,Passed,Attendance_Group,Study_Hours_Group,Risk_Level,Grade_Point
STU1035,22,Female,Diploma,17.5,76.0,39.3,20.2,75.0,Yes,No,No,6.6,47.7,At-Risk,No,Good (75-85%),High (>16 hrs),High Risk,4.77
STU1036,20,Male,High School,10.5,90.8,76.4,33.8,88.7,No,Yes,No,6.2,72.9,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,7.29
STU1037,19,Female,Diploma,15.5,87.2,52.0,22.6,74.9,No,Yes,Yes,7.5,59.3,Pass,Yes,Excellent (>85%),Medium (8-16 hrs),Moderate Risk,5.93
STU1038,18,Male,Bachelor,12.6,71.7,68.0,30.7,71.6,No,Yes,Yes,8.2,64.6,Pass,Yes,Moderate (65-75%),Medium (8-16 hrs),Moderate Risk,6.46
STU1039,20,Female,Master,4.2,78.1,62.6,28.4,81.0,No,Yes,Yes,8.2,64.6,Pass,Yes,Good (75-85%),Low (<8 hrs),Moderate Risk,6.46
STU1040,19,Male,Master,23.3,79.2,89.7,42.8,80.8,Yes,Yes,Yes,5.8,86.7,Distinction,Yes,Good (75-85%),High (>16 hrs),Low Risk,8.67
STU1041,18,Female,Bachelor,9.2,66.6,62.6,30.6,72.7,Yes,No,No,6.9,62.3,Pass,Yes,Moderate (65-75%),Medium (8-16 hrs),Moderate Risk,6.23
STU1042,19,Female,Bachelor,24.4,79.8,49.0,27.0,83.4,Yes,No,Yes,5.8,60.7,Pass,Yes,Good (75-85%),High (>16 hrs),Moderate Risk,6.07
STU1043,18,Female,High School,21.3,92.2,58.4,26.9,93.3,No,Yes,No,5.7,65.0,Merit,Yes,Excellent (>85%),High (>16 hrs),Low Risk,6.5
STU1044,21,Female,Bachelor,14.4,87.6,47.8,15.7,79.4,No,Yes,Yes,6.3,55.5,Pass,Yes,Excellent (>85%),Medium (8-16 hrs),Moderate Risk,5.55
STU1045,19,Female,High School,16.7,99.6,62.1,30.9,91.1,Yes,Yes,No,7.4,79.9,Merit,Yes,Excellent (>85%),High (>16 hrs),Low Risk,7.99
STU1046,20,Female,Diploma,17.7,85.0,89.8,45.1,85.3,No,Yes,No,7.6,86.5,Distinction,Yes,Good (75-85%),High (>16 hrs),Low Risk,8.65
STU1047,19,Male,Bachelor,11.6,97.4,82.5,45.7,92.1,No,Yes,Yes,7.7,86.1,Distinction,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,8.61
STU1048,19,Male,Diploma,11.8,73.1,93.6,47.2,81.1,Yes,Yes,No,7.7,79.4,Merit,Yes,Moderate (65-75%),Medium (8-16 hrs),Low Risk,7.94
STU1049,19,Female,High School,17.2,91.9,71.7,30.5,74.6,Yes,No,No,6.1,69.2,Merit,Yes,Excellent (>85%),High (>16 hrs),Low Risk,6.92
STU1050,18,Female,Bachelor,12.7,96.7,67.0,30.8,84.8,No,Yes,Yes,8.3,72.8,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,7.28
STU1051,22,Female,Diploma,10.4,64.3,51.0,22.0,60.6,Yes,Yes,No,7.9,60.8,Pass,Yes,Critical (<65%),Medium (8-16 hrs),Moderate Risk,6.08
STU1052,20,Male,High School,8.3,84.9,68.8,29.5,74.7,No,Yes,Yes,6.5,58.9,Pass,Yes,Good (75-85%),Medium (8-16 hrs),Moderate Risk,5.89
STU1053,21,Male,High School,15.8,45.2,63.2,28.0,46.1,No,Yes,No,6.6,56.2,Pass,Yes,Critical (<65%),Medium (8-16 hrs),High Risk,5.62
STU1054,21,Male,High School,9.1,85.8,75.9,38.7,84.2,No,Yes,No,6.3,75.2,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,7.52
STU1055,19,Female,High School,19.5,87.7,49.3,16.6,73.1,No,No,No,5.6,53.0,Pass,Yes,Excellent (>85%),High (>16 hrs),Moderate Risk,5.3
STU1056,21,Male,Bachelor,20.3,65.7,65.7,26.1,70.8,No,Yes,No,7.7,58.8,Pass,Yes,Moderate (65-75%),High (>16 hrs),Moderate Risk,5.88
STU1057,18,Male,Diploma,16.6,67.1,43.0,23.6,70.8,No,Yes,Yes,7.9,54.0,Pass,Yes,Moderate (65-75%),High (>16 hrs),Moderate Risk,5.4
STU1058,18,Male,Bachelor,18.3,78.4,69.7,36.5,69.9,No,Yes,No,6.0,72.5,Merit,Yes,Good (75-85%),High (>16 hrs),Low Risk,7.25
STU1059,18,Male,High School,16.6,86.2,74.5,31.2,75.4,No,Yes,No,5.6,70.2,Merit,Yes,Excellent (>85%),High (>16 hrs),Low Risk,7.02
STU1060,19,Female,Diploma,19.0,61.9,42.3,24.8,65.9,Yes,No,No,6.0,50.0,Pass,Yes,Critical (<65%),High (>16 hrs),Moderate Risk,5.0
STU1061,19,Male,Bachelor,18.6,74.2,46.2,24.2,77.2,No,Yes,No,7.1,55.6,Pass,Yes,Moderate (65-75%),High (>16 hrs),Moderate Risk,5.56
STU1062,19,Female,Bachelor,15.3,64.5,46.9,20.2,72.7,No,No,Yes,5.5,49.6,At-Risk,No,Critical (<65%),Medium (8-16 hrs),High Risk,4.96
STU1063,21,Male,Bachelor,21.4,96.7,62.5,19.6,94.7,No,Yes,No,8.2,65.1,Merit,Yes,Excellent (>85%),High (>16 hrs),Low Risk,6.51
STU1064,19,Male,Master,11.8,80.2,45.4,14.6,85.4,Yes,Yes,Yes,8.2,54.8,Pass,Yes,Good (75-85%),Medium (8-16 hrs),Moderate Risk,5.48
STU1065,19,Male,High School,8.5,67.7,84.3,35.6,69.0,Yes,Yes,No,7.5,70.7,Merit,Yes,Moderate (65-75%),Medium (8-16 hrs),Low Risk,7.07
STU1066,19,Male,Diploma,8.2,89.3,71.1,34.7,90.7,No,Yes,Yes,7.9,70.4,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,7.04
STU1067,18,Male,Master,10.9,74.8,73.4,35.7,78.5,Yes,Yes,No,7.1,76.8,Merit,Yes,Moderate (65-75%),Medium (8-16 hrs),Low Risk,7.68
STU1068,20,Male,High School,3.9,93.5,42.8,17.6,93.3,No,Yes,No,7.5,48.6,At-Risk,No,Excellent (>85%),Low (<8 hrs),High Risk,4.86
STU1069,18,Female,High School,14.3,62.0,83.1,36.6,53.6,No,Yes,No,5.6,63.6,Pass,Yes,Critical (<65%),Medium (8-16 hrs),Moderate Risk,6.36
STU1070,23,Male,High School,17.8,83.3,74.1,33.2,87.6,No,Yes,Yes,8.5,70.3,Merit,Yes,Good (75-85%),High (>16 hrs),Low Risk,7.03
STU1071,20,Female,Bachelor,20.2,87.3,55.4,24.2,80.6,Yes,No,No,6.5,57.7,Pass,Yes,Excellent (>85%),High (>16 hrs),Moderate Risk,5.77
STU1072,18,Female,High School,4.8,89.8,43.4,20.1,88.8,Yes,No,No,6.9,53.6,Pass,Yes,Excellent (>85%),Low (<8 hrs),Moderate Risk,5.36
STU1073,18,Female,High School,8.4,83.5,63.9,28.6,71.0,Yes,Yes,No,9.7,54.6,Pass,Yes,Good (75-85%),Medium (8-16 hrs),Moderate Risk,5.46
STU1074,20,Male,Diploma,19.2,72.2,58.5,20.5,68.5,Yes,No,Yes,6.8,58.8,Pass,Yes,Moderate (65-75%),High (>16 hrs),Moderate Risk,5.88
STU1075,20,Male,Bachelor,11.6,83.7,59.1,25.9,74.0,No,Yes,No,7.8,65.1,Merit,Yes,Good (75-85%),Medium (8-16 hrs),Low Risk,6.51
STU1076,20,Male,High School,17.6,60.6,55.1,24.7,58.3,No,Yes,Yes,7.6,55.5,Pass,Yes,Critical (<65%),High (>16 hrs),Moderate Risk,5.55
STU1077,20,Male,Diploma,6.2,80.8,75.1,37.3,69.0,Yes,Yes,No,5.5,66.2,Merit,Yes,Good (75-85%),Low (<8 hrs),Low Risk,6.62
STU1078,18,Female,Bachelor,24.3,77.4,30.0,12.0,80.3,Yes,No,Yes,5.9,49.4,At-Risk,No,Good (75-85%),High (>16 hrs),High Risk,4.94
STU1079,19,Male,Master,5.9,63.6,85.0,39.0,54.7,Yes,Yes,Yes,9.2,65.9,Merit,Yes,Critical (<65%),Low (<8 hrs),Low Risk,6.59
STU1080,18,Male,Bachelor,2.0,96.8,79.0,37.5,84.0,No,Yes,Yes,7.6,69.8,Merit,Yes,Excellent (>85%),Low (<8 hrs),Low Risk,6.98
STU1081,21,Female,Bachelor,14.1,51.0,67.9,30.0,49.2,No,Yes,Yes,7.0,60.4,Pass,Yes,Critical (<65%),Medium (8-16 hrs),High Risk,6.04
STU1082,20,Female,Diploma,14.3,85.8,63.0,22.2,81.8,No,Yes,Yes,6.4,64.2,Pass,Yes,Excellent (>85%),Medium (8-16 hrs),Moderate Risk,6.42
STU1083,19,Female,High School,9.8,95.0,80.2,39.6,81.6,No,Yes,No,7.4,79.4,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,7.94
STU1084,18,Male,Diploma,16.3,75.2,64.4,31.6,67.8,No,Yes,No,7.5,63.8,Pass,Yes,Good (75-85%),High (>16 hrs),Moderate Risk,6.38
STU1085,19,Male,Bachelor,16.5,77.3,61.1,28.3,73.9,No,Yes,Yes,7.2,64.5,Pass,Yes,Good (75-85%),High (>16 hrs),Moderate Risk,6.45
STU1086,19,Male,Diploma,15.6,80.7,80.9,36.5,79.5,Yes,No,No,8.2,77.6,Merit,Yes,Good (75-85%),Medium (8-16 hrs),Low Risk,7.76
STU1087,20,Male,Bachelor,9.7,90.5,94.3,36.2,75.8,No,Yes,No,6.0,84.1,Distinction,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,8.41
STU1088,20,Male,Master,8.7,96.1,51.4,25.8,80.8,Yes,Yes,No,5.9,69.3,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,6.93
STU1089,21,Male,High School,10.3,61.8,70.9,37.1,58.2,No,Yes,Yes,8.1,62.2,Pass,Yes,Critical (<65%),Medium (8-16 hrs),Moderate Risk,6.22
STU1090,19,Male,High School,8.1,98.9,49.8,18.5,98.7,Yes,Yes,Yes,9.3,56.6,Pass,Yes,Excellent (>85%),Medium (8-16 hrs),Moderate Risk,5.66
STU1091,18,Male,High School,21.9,87.7,72.0,37.1,79.3,No,Yes,No,7.9,74.0,Merit,Yes,Excellent (>85%),High (>16 hrs),Low Risk,7.4
STU1092,20,Male,Diploma,10.8,87.7,54.1,28.3,83.4,Yes,Yes,Yes,8.4,67.5,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,6.75
STU1093,20,Female,High School,13.9,75.3,82.0,32.9,67.5,No,No,Yes,6.9,61.9,Pass,Yes,Good (75-85%),Medium (8-16 hrs),Moderate Risk,6.19
STU1094,19,Female,Bachelor,19.2,79.6,63.6,27.2,75.5,Yes,Yes,Yes,7.3,70.1,Merit,Yes,Good (75-85%),High (>16 hrs),Low Risk,7.01
STU1095,20,Female,High School,7.9,87.7,65.7,24.7,72.9,No,No,Yes,7.3,57.4,Pass,Yes,Excellent (>85%),Low (<8 hrs),Moderate Risk,5.74
STU1096,19,Male,Diploma,5.8,56.2,87.8,39.3,50.0,No,Yes,No,6.9,67.4,Merit,Yes,Critical (<65%),Low (<8 hrs),High Risk,6.74
STU1097,19,Male,High School,8.1,79.8,54.7,26.2,75.2,Yes,Yes,Yes,8.6,57.7,Pass,Yes,Good (75-85%),Medium (8-16 hrs),Moderate Risk,5.77
STU1098,19,Male,Master,14.7,86.7,74.6,28.9,78.7,No,Yes,No,8.2,71.4,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,7.14
STU1099,18,Female,Bachelor,14.2,78.7,56.1,26.6,67.8,No,Yes,No,6.6,66.0,Merit,Yes,Good (75-85%),Medium (8-16 hrs),Low Risk,6.6
STU1100,18,Female,Master,15.6,93.5,81.7,39.0,89.2,Yes,Yes,No,5.2,78.1,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,7.81
STU1101,18,Male,Master,12.2,50.5,90.0,42.8,65.2,No,Yes,Yes,6.9,73.8,Merit,Yes,Critical (<65%),Medium (8-16 hrs),High Risk,7.38
STU1102,20,Female,Diploma,2.4,69.0,61.3,29.2,66.2,No,Yes,Yes,5.7,50.8,Pass,Yes,Moderate (65-75%),Low (<8 hrs),Moderate Risk,5.08
STU1103,19,Male,High School,12.0,40.0,34.3,12.0,50.5,No,Yes,No,7.0,36.3,At-Risk,No,Critical (<65%),Medium (8-16 hrs),High Risk,3.63
STU1104,19,Female,High School,20.5,81.3,55.4,24.5,86.2,No,Yes,Yes,5.8,62.7,Pass,Yes,Good (75-85%),High (>16 hrs),Moderate Risk,6.27
STU1105,21,Female,High School,23.0,94.7,98.0,45.3,92.9,No,No,No,8.4,84.8,Distinction,Yes,Excellent (>85%),High (>16 hrs),Low Risk,8.48
STU1106,18,Female,Bachelor,13.4,69.6,56.7,30.6,68.0,No,Yes,Yes,7.8,63.0,Pass,Yes,Moderate (65-75%),Medium (8-16 hrs),Moderate Risk,6.3
STU1107,19,Female,High School,14.2,87.2,89.8,40.4,85.8,No,Yes,No,7.7,78.1,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,7.81
STU1108,20,Female,High School,17.4,76.4,56.5,26.9,66.0,No,Yes,No,8.2,63.5,Pass,Yes,Good (75-85%),High (>16 hrs),Moderate Risk,6.35
STU1109,18,Male,Bachelor,22.7,97.6,56.2,22.0,88.6,Yes,Yes,No,7.4,67.6,Merit,Yes,Excellent (>85%),High (>16 hrs),Low Risk,6.76
STU1110,18,Female,Bachelor,12.8,67.4,75.9,30.1,62.8,Yes,Yes,No,7.6,72.7,Merit,Yes,Moderate (65-75%),Medium (8-16 hrs),Low Risk,7.27
STU1111,19,Male,Bachelor,17.3,75.7,74.2,28.9,66.2,No,Yes,Yes,8.6,67.9,Merit,Yes,Good (75-85%),High (>16 hrs),Low Risk,6.79
STU1112,18,Female,Diploma,9.5,65.7,76.9,33.1,64.5,No,Yes,Yes,6.9,64.2,Pass,Yes,Moderate (65-75%),Medium (8-16 hrs),Moderate Risk,6.42
STU1113,21,Female,Bachelor,6.3,95.4,65.1,36.5,79.4,No,Yes,Yes,7.7,65.5,Merit,Yes,Excellent (>85%),Low (<8 hrs),Low Risk,6.55
STU1114,20,Female,Bachelor,10.0,69.6,79.5,34.4,72.7,Yes,Yes,Yes,5.8,68.6,Merit,Yes,Moderate (65-75%),Medium (8-16 hrs),Low Risk,6.86
STU1115,20,Male,High School,25.2,92.5,78.5,36.6,83.9,No,Yes,No,7.1,79.6,Merit,Yes,Excellent (>85%),High (>16 hrs),Low Risk,7.96
STU1116,21,Female,Bachelor,17.5,57.6,81.1,38.4,60.9,Yes,Yes,Yes,9.5,67.0,Merit,Yes,Critical (<65%),High (>16 hrs),High Risk,6.7
STU1117,20,Female,Master,6.6,78.6,56.3,21.5,67.9,No,Yes,Yes,7.9,59.4,Pass,Yes,Good (75-85%),Low (<8 hrs),Moderate Risk,5.94
STU1118,18,Female,High School,17.9,77.8,79.5,34.3,67.3,No,Yes,No,6.9,71.7,Merit,Yes,Good (75-85%),High (>16 hrs),Low Risk,7.17
STU1119,21,Male,Diploma,6.9,87.6,57.7,28.2,83.0,No,Yes,Yes,7.3,57.1,Pass,Yes,Excellent (>85%),Low (<8 hrs),Moderate Risk,5.71
STU1120,19,Male,Diploma,15.5,94.1,62.8,29.8,95.6,Yes,Yes,No,7.0,74.8,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,7.48
STU1121,20,Male,High School,7.7,82.1,62.5,21.1,69.4,No,Yes,Yes,7.3,56.2,Pass,Yes,Good (75-85%),Low (<8 hrs),Moderate Risk,5.62
STU1122,21,Male,Bachelor,6.4,59.5,51.0,25.0,57.4,No,Yes,Yes,6.6,50.9,Pass,Yes,Critical (<65%),Low (<8 hrs),High Risk,5.09
STU1123,19,Female,Diploma,27.3,70.3,40.7,16.4,76.6,No,No,No,7.5,52.3,Pass,Yes,Moderate (65-75%),High (>16 hrs),Moderate Risk,5.23
STU1124,18,Male,Bachelor,10.8,59.7,82.1,35.1,53.2,Yes,Yes,No,7.6,65.5,Merit,Yes,Critical (<65%),Medium (8-16 hrs),High Risk,6.55
STU1125,18,Female,Bachelor,17.3,95.6,55.2,26.3,94.4,No,Yes,Yes,7.0,63.5,Pass,Yes,Excellent (>85%),High (>16 hrs),Moderate Risk,6.35
STU1126,19,Male,Bachelor,13.1,90.7,61.2,32.9,84.0,Yes,Yes,Yes,7.2,73.2,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,7.32
STU1127,20,Male,High School,7.2,73.5,54.8,24.0,69.6,No,Yes,Yes,7.4,49.0,At-Risk,No,Moderate (65-75%),Low (<8 hrs),High Risk,4.9
STU1128,21,Female,High School,11.4,80.9,61.4,31.8,72.8,Yes,Yes,Yes,6.4,64.9,Pass,Yes,Good (75-85%),Medium (8-16 hrs),Moderate Risk,6.49
STU1129,18,Female,High School,7.3,84.4,57.9,21.0,75.0,Yes,Yes,Yes,7.5,62.5,Pass,Yes,Good (75-85%),Low (<8 hrs),Moderate Risk,6.25
STU1130,19,Male,High School,35.0,87.9,82.9,37.8,77.6,Yes,No,No,7.9,81.1,Distinction,Yes,Excellent (>85%),High (>16 hrs),Low Risk,8.11
STU1131,19,Female,Diploma,18.8,89.3,56.7,23.6,90.2,Yes,Yes,Yes,8.6,63.2,Pass,Yes,Excellent (>85%),High (>16 hrs),Moderate Risk,6.32
STU1132,18,Female,Bachelor,13.0,91.0,89.0,41.0,88.2,Yes,Yes,No,7.4,85.1,Distinction,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,8.51
STU1133,18,Male,Diploma,16.9,61.2,80.9,35.4,66.2,No,Yes,No,6.4,67.3,Merit,Yes,Critical (<65%),High (>16 hrs),Low Risk,6.73
STU1134,19,Female,Bachelor,18.2,73.8,58.4,21.6,77.6,Yes,No,Yes,6.9,56.8,Pass,Yes,Moderate (65-75%),High (>16 hrs),Moderate Risk,5.68
STU1135,22,Female,Diploma,18.3,86.1,69.5,28.2,75.4,No,Yes,Yes,5.7,78.5,Merit,Yes,Excellent (>85%),High (>16 hrs),Low Risk,7.85
STU1136,19,Female,Bachelor,17.9,91.3,72.3,26.8,86.3,Yes,Yes,No,7.8,75.8,Merit,Yes,Excellent (>85%),High (>16 hrs),Low Risk,7.58
STU1137,19,Male,Master,17.2,90.0,76.8,30.0,82.2,No,Yes,Yes,4.7,68.3,Merit,Yes,Excellent (>85%),High (>16 hrs),Low Risk,6.83
STU1138,20,Female,High School,13.5,68.1,78.2,36.9,73.3,No,Yes,No,8.1,71.5,Merit,Yes,Moderate (65-75%),Medium (8-16 hrs),Low Risk,7.15
STU1139,19,Male,Bachelor,26.3,74.7,67.6,29.5,68.5,Yes,Yes,Yes,8.3,71.5,Merit,Yes,Moderate (65-75%),High (>16 hrs),Low Risk,7.15
STU1140,22,Male,Bachelor,14.0,75.1,51.6,24.0,75.4,No,No,No,4.0,47.3,At-Risk,No,Good (75-85%),Medium (8-16 hrs),High Risk,4.73
STU1141,22,Male,Bachelor,13.2,84.9,74.0,39.7,87.1,Yes,Yes,Yes,8.4,79.3,Merit,Yes,Good (75-85%),Medium (8-16 hrs),Low Risk,7.93
STU1142,19,Male,Bachelor,14.0,92.9,61.7,26.7,83.1,No,Yes,Yes,8.1,67.8,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,6.78
STU1143,19,Female,Diploma,14.5,66.9,30.0,15.7,58.2,No,Yes,Yes,6.7,46.5,At-Risk,No,Moderate (65-75%),Medium (8-16 hrs),High Risk,4.65
STU1144,19,Female,High School,4.8,46.0,70.5,31.8,52.5,Yes,Yes,Yes,5.7,62.6,Pass,Yes,Critical (<65%),Low (<8 hrs),High Risk,6.26
STU1145,19,Female,High School,8.0,89.6,54.7,34.3,79.6,Yes,Yes,No,6.1,70.8,Merit,Yes,Excellent (>85%),Low (<8 hrs),Low Risk,7.08
STU1146,18,Male,Bachelor,12.2,94.5,58.6,15.8,89.6,Yes,Yes,No,6.2,66.0,Merit,Yes,Excellent (>85%),Medium (8-16 hrs),Low Risk,6.6
STU1147,20,Male,Master,4.7,86.9,65.1,26.8,89.9,No,Yes,Yes,8.4,67.3,Merit,Yes,Excellent (>85%),Low (<8 hrs),Low Risk,6.73
STU1148,19,Male,Bachelor,13.0,80.0,43.2,21.7,75.7,No,Yes,No,6.5,58.5,Pass,Yes,Good (75-85%),Medium (8-16 hrs),Moderate Risk,5.85
STU1149,18,Female,Diploma,14.4,77.9,66.9,27.5,73.9,No,Yes,No,8.0,65.7,Merit,Yes,Good (75-85%),Medium (8-16 hrs),Low Risk,6.57
STU1150,19,Male,Bachelor,6.1,79.7,60.6,29.3,78.9,No,Yes,No,6.9,56.8,Pass,Yes,Good (75-85%),Low (<8 hrs),Moderate Risk,5.68
STU1151,21,Female,Bachelor,9.1,82.3,52.7,23.5,69.7,Yes,Yes,Yes,7.1,62.2,Pass,Yes,Good (75-85%),Medium (8-16 hrs),Moderate Risk,6.22
